Eng,Beng
the,দ্য
and,এবং
have,আছে
that,যে
for,জন্য
you,আপনি
with,সঙ্গে
say,বল
this,এই
they,তারা
but,কিন্তু
his,তার
from,থেকে
not,না
she,সে
as,হিসাবে
what,কি
their,তাদের
can,করতে পারা
who,WHO
get,পাওয়া
would,হবে
her,তার
all,সব
make,করা
about,সম্পর্কিত
know,জানি
will,ইচ্ছাশক্তি
one,এক
time,সময়
there,সেখানে
year,বছর
think,মনে
when,কখন
which,যা
them,তাদের
some,কিছু
people,মানুষ
take,গ্রহণ করা
out,আউট
into,মধ্যে
just,শুধু
see,দেখা
him,তাকে
your,তোমার
come,আসা
could,পারে
now,এখন
than,চেয়ে
like,পছন্দ
other,অন্যান্য
how,কিভাবে
then,তারপর
its,এর
our,আমাদের
two,দুই
more,আরো
these,এইগুলো
want,চাই
way,উপায়
look,তাকান
first,প্রথম
also,এছাড়াও
new,নতুন
because,কারণ
day,দিন
use,ব্যবহার
man,মানুষ
find,অনুসন্ধান
here,এখানে
thing,জিনিস
give,দিতে
many,অনেক
well,আমরা হব
only,কেবল
those,সেগুলো
tell,বল
very,খুব
even,এমন কি
back,পেছনে
any,যেকোনো
good,ভাল
woman,মহিলা
through,মাধ্যম
life,জীবন
child,শিশু
work,কাজ
down,নিচে
may,হতে পারে
after,পরে
should,উচিত
call,কল
world,বিশ্ব
over,ওভার
school,বিদ্যালয়
still,এখনও
try,চেষ্টা করুন
last,শেষ
ask,জিজ্ঞাসা
need,প্রয়োজন
too,খুব
feel,অনুভব করা
three,তিন
state,অবস্থা
never,কখনই
become,হয়ে
between,মধ্যে
high,উচ্চ
really,সত্যিই
something,কিছু
most,সর্বাধিক
another,অন্য
much,অনেক
family,পরিবার
own,নিজস্ব
leave,ছেড়ে
put,রাখা
old,পুরাতন
while,যখন
mean,মানে
keep,রাখা
student,ছাত্র
why,কেন
let,দিন
great,মহান
same,একই
big,বড়
group,দল
begin,শুরু
seem,মনে হয়
country,দেশ
help,সাহায্য
talk,আলাপ
where,কোথায়
turn,পালা
problem,সমস্যা
every,প্রতি
start,শুরু
hand,হাত
might,হতে পারে
American,মার্কিন
show,প্রদর্শন
part,অংশ
against,বিরুদ্ধে
place,স্থান
such,যেমন
again,আবার
few,কিছু
case,মামলা
week,সপ্তাহ
company,প্রতিষ্ঠান
system,পদ্ধতি
each,প্রতিটি
right,অধিকার
program,কার্যক্রম
hear,শুনতে
question,প্রশ্ন
during,সময়
play,খেলা
government,সরকার
run,চালানো
small,ছোট
number,সংখ্যা
off,বন্ধ
always,সর্বদা
